
            Article ID,Newspaper Title,Newspaper City,Newspaper Province,Newspaper Country,Year,Month,Day,Article Type,Text,Keywords
        ID89,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,23,entertain,Longevity. –At Taconey a small village about seven miles from Philadelphia there is now living a shoemaker of the name of Robert Glen who in December last attained the great age of one hun - dred and fourteen years. Scotland was the place of his nativity; he remembers having seen King William III. and was present at the two succeeding coronations. Neither his memory nor his sight are in the least impaired; and such is his strength that after working all the week at his profession he regularly walks on Sunday to Philadelphia and back. His third wife is now living and is not more than thirty years old. ,longevity
        ID90,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,23,inform,CAPE OF GOOD HOPE. The following account of the inhabitants of this settlement is given by a late traveller. The education of youth has hitherto been very much neglected: the government never hit upon any successful plan for the establishment of public schools; and the individual had no other ambition but that of qualifying his sons by writing and accounts to become servants of the Company. This body of merchants had a number of persons in their employ who were very ill paid. Their salaries indeed were sufficient to afford them a bare subsistence ; but it ta citly allowed them to negotiate for themselves: the consequence of such a conduct was that each became a kind of petty dealer. Each had his little private shop in some corner of his house. The most paltry articles were in the list of their commodities for sale ; and those who ranked high in government and assumed a string of full-founding epithets to their names felt no sore of indignity in retailing the produce of their gardens ; not indeed avowedly but through the medium of their slaves. In fact the minds of every class the Governor the Clergy the F?l and the Secretary of the Court of Justice excepted were wholly bent on trade. Knopman or merchant was a title that conferred rank at the Cape to which the military even aspired. On this subject the ideas of the Dutch differ widely from those of the Chinese who have degraded the merchant into the very lowest order of their society. That portion of the day not employed in the concerns of trade is usually devoted to the gratification of the sensual appetite. Few have any taste for reading and none for the cultivation of the fine arts.–They have no kind of public amusements except occasional balls ; nor is there much social intercourse but by family parties; which usually consist of card playing or dancing. Money-matters and merchandize engross their whole conversation : yet none are opulent though many in easy circumstances. There are no beggars in the whole colony and but a few who are objects of public cha rity. The subsistence for these is derived from the interest of a fund established out of the church superfluities from alms donations and collections made after divine service and not from any tax laid upon the public. Except indeed a few colonial assessments for the repairs of the streets and public works the inhabitants of the Cape have little drawback on their profits on the produce of their labour. It has been the remark of most travellers that the ladies of the Cape are pretty lively and good humoured ; possessing little of that phlegmatic temper which is a principal trait in the national character of the Dutch. The difference in the manners and appearance of the young men and the young women in the same family is inconceivably great. The former are clumsy in their shape awkward in in their carriage and of an unsocial disposition; whilst the latter are generally of a small delicate form below the middle size of easy and unaffected manners well dressed and fond of social intercourse; an indulgence in which they are seldom restrained by their parents and which they as seldom turn to abuse. They are here indeed less dependent on and less subject to the caprice of parents than else where. Primogeniture entitles to no advantage; but all the children male and female share alike in the family property. No parent can disinherit a child without assigning on proof on at least of the fourteen reasons enumerated in the Justinian Code. By the law of the colony a community of all property both real and personal is supposed to take place on the marriage of two person unless the contrary should be particularly provided against by solemn contract made before marriage. Where no such contract exists the children on the death of either parent are entitled to that half of the joint property which was supposed to belong to the deceased and which cannot be withheld on application after they are come of age. It is but justice to the young females of the Cape to r emark that many of them have profited much more than could be expected from the limited means of education that the place affords. In the better families most of them are taught music and some have acquired a tolerable degree of execution. Many understand the French language and some have made great proficiency in the English. They are expert at the needle and all kinds of lace knotting and tambour work and in general make up their own dresses following the prevailing fashion of England brought from time to time by the female passengers bound to India from whom they may be said to Catch the manners living as they rise Neither are the other sex while boys deficient in vivacity or talent ; but for want of the means of a proper education to open their minds and excite in them a desire of knowledge they soon degenerate into the common routine of eating smoaking sic and sleeping. Few of the male inhabitants associate with the English except such as hold employments under the Government. This backwardness may be said to be owing in part to the different habits of the two nations and partly perhaps to the reluctance that a vanquished people must always feel in mixing with their conquerors. ,society;gender;national characteristics;education
        ID91,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,08,06,inform,One of the recent circumstances that have occupied the attention of the judicial power at Botany Bay was the removal of one of the free female convicts from Sidney Cove for keeping a house of ill-fame. ,crime
        ID317,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,27,inform,Richmond January 28. Extract of a letter from a Gentleman now residing at Quebec to his Correspondent in this City dated Jan. 9 1972 Our humanity was deeply affected by the dreadful carnage made by the Indians. You may be assured that the number of Indians did not exceed 1000 and that nothing saved General St. Clair and the remainder of his army but the great quantity of plunder he left to the Indians; they were composed of various tribes and three-fourths of of them remained in the camp to plunder it and to take scalps the trophies of their victory; and he that got most when he returned to his nation acquired the greatest share of glory; hence only about 200 pursued. The loss of the Indians is under 20 killed and 30 wounded. The victory they have obtained at so easy a purchase and the riches they obtained by the plunder and the provisions they found will make them a more terrible foe than ever they have been; they boast of taking an amazing quantity of powder and arms which they wanted; many of them were only armed with spears and hatchets and I have no doubt but if another expedition should be set on foot that they will be met by three times the number of Indians. The indian tribes of nations who live many hundred miles back have all entered into an association and made the present war a common concern they to oppose what they call the common enemy. The warriors of the different tribes so united are not less than 15 or 20000; numbers of the chiefs of ten or twelve numerous nations were here last summer. Lord Dorchester advised them to make peace and offered his mediations; he told them he was at peace with the United States and could give them no assistance. Their answer was that the enemy was in their country and would not make peace with them but on term dishonourable and at the expense of their country and that they had determined to die before they would accept of such terms. They felt much dissatisfied with the answer they received and departed with a full determination to defend their country with the last of their blood. You may depend on it that many years will elapse and many thousand men be expended before the United States will by the present measures be able to possess the country in contest; and I may also add that I have great apprehensions that desolation and destruction will be the consequence on the frontiers of the Ohio this winter and next spring; I would to God some steps might be taken to prevent them. I have no doubt the country might be purchased for one fiftieth part of the expence already incurred by the different expeditions; the attempt to take the country from them by force is founded in unrighteousness and ought to be abandoned; besides if the American mean to have anytrade with them they are taking steps that will prevent it for many years to come. The Indians do not easily forget or forgive injuries Carlisle Jan. 4. 1792. By the Pittsburgh post which arrived yesterday we are informed that previous to his leaving Pittsburgh an express had arrived there with the melancholy news that Forts Jefferson and Franklin were taken by Indians and that two large bodies of them were moving to the Allighany. Extract of a Letter from Patowmack North Amer ca Feb. 7. Last Sunday evening came to this town a young man from Cat-fish which he left about two weeks ago and who gave us the following pleasing interesting and important intelligence viz that two days before he left Cat-fish two men arrived there from Licking who informed that they had been out with a body of 1300 volunteers on horseback from Kentucky under General Scott; that they left Licking on the expedition a few days before Christmas; that General Scott dispatched three spies in advance who when they arrived about 13 miles beyond the spot where General St. Clair was defeated they discovered a large body of Indians diverting and enjoying themselves with the plunder they had taken riding the bullocks dancing &c. and appeared to be mostly drunk; that on the information being given to General Scott who with the main body were a few miles in the rear he divided them into three divisions advanced and fell on the enemy by surprise; that the contest was short but victorious on the side of the volunteers 700 of the enemy being killed on the spot all the cannon and stores in their possession retaken and the remainder of that savage body put to flight; that General Scott having lost but six men returned to Licking in triumph with most of the cattle stores &c. leaving the cannon at Fort Jefferson; that General Scott had previously gone out with 400 men but finding his number was insufficient was returning but met a body of 900 volunteers when upon joining him he immediately proceeded in prosecution of his original design which fortunately proved successful. Our informant further adds that he saw a Kentucky newspaper of the 8th of January at Morgan Town brought by Major Scott's expedition which corresponded with that given by the two men at Cat Fish and that Gen. Scott brought in near 700 scalps. ,war;Native Americans;international trade;national characteristics
        ID332,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,06,25,entertain,Col. Alexander MacGillivray the celebrated Chief of the Creek Nations and an Ally of the United States died lately in the Creek territories. He passed most of his life in the remote parts of America. By his regulations the Indians have been very much civilized. His death has occasioned universal regret among his people. ,Native Americans;obituary
        ID337,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,20,inform,Letters dated Halifax Feb 7 brought by the Schooner Joseph arrived at Glasgow say the Indians have beat the Americans in a second action in which 48 officers and 800 men were killed of the American army besides the loss of all their field pieces arms and stores. since this battle the Indians are increasing and become very powerful. ,Native Americans;war
        ID338,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,23,inform,Abstract of American Finances as laid before Congress January 23 by Alexander Hamilton Esq; Secretary to the Treasury of the United States. Revenue. Dollars. Duties on Imports for the year 1792 estimated at 3300000 Duties on home made spirits for 1792 estimated at 400000 ___________ Total 3700000 Expences. Dollars. Cents. For support of the Civil Establishment of } 368653 56 government Ambassadors &c. &c. Military Establishment including the ex. } 382731 61 pences of the Indian WarPensions to Invalids who have not accept } 87462 60 ed of lands. ___________ Total 388848 77 Interest on the foreign and domestic } 2849194 77 debts including the state debts af sumed ___________ 3683043 50 Estimating the dollar at 4s. 6d. and each cent at a half penny amount to eight hundred and forty seven thousand and ten pounds two shillings and two-pence sterling British money which comes to about 4s. 2d. sterling a head for each person. ,international trade;alcohol;war
        ID339,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,04,16,inform,From Philadelphia we learn that since the late defeat of the American forces by the Indians Congress have determined to maintain a standing army; but the number of troops of which it was to consist had not been ultimately determined. ,war;Native Americans;military
        ID351,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,08,17,inform,By private letters and newspapers lately arrived from Philadelphia and New York we have informmation that the Indians are carrying on their depredations on the back settlements of the United States with great vigour; that an enquiry as to the miscarriage of the war had been made by Congress and an army was collected this year; that the Americans had some expectations of getting free of the Indian war by treaties. We have advices of Governor Clinton's being re-elected Governor of New York state by a majority of 180 but the friends of Mr. Tay were objecting to the return as the canvassers had not opened the boxes which contained the returns from three counties Otsego Clinton and Tioga which if opened they say would have given the election to Mr. Tay the county of Otsego alone being 300 majority in favours of Mr. Tay. A dreadful storm happened at New York on the 1st of July which continued with so much violence that several vessels were driven from their moorings and a number of boats upset and many lives lost. ,Native Americans;war;foreign relations;colonial government;weather;shipwreck
        ID352,Glasgow Advertiser,Glasgow,Scotland,United Kingdom,1792,08,20,inform,Extract of a letter from New York??? A complete overthrow has lately been given to a numerous body of Indians commanded by one of their greatest Warriors who was left dead on the field amongst many hundreds of his followers. The attack was commenced on the morning of the 28th of June by a company of Regulars under the command of Lieutenant Morton of New York aided by a number of the neighbouring inhabitants; and after a contest of three hours put them totally to the rout. The carnage was general amongst the Indians and no quarter given as it might operate as a terror in future to those savage Freebooters whose depredations on the property of every description of individuals and oftentimes??? with personal cruelty to those in their power has exasperated the Communities to the highest pitch of vengeance and retaliation when an opportunity offered. ,war;Native Americans;war;Native Americans
